time,boiler temp for 50 L with solar system,boiler temp for 50 L without solar system,boiler temp for 100 L with solar system,boiler temp for 100 L without solar system,boiler temp for 150 L with solar system,boiler temp for 150 L without solar system
2025-05-07 21:00:00+03:00,34.42915,20.991505,31.396776,21.248257,27.292652,21.003117
2025-05-07 22:00:00+03:00,33.47227,20.610823,30.73074,20.81252,26.649261,20.659441
2025-05-07 23:00:00+03:00,32.547337,20.14137,30.013847,20.267462,25.920792,20.218142
2025-05-08 00:00:00+03:00,31.788317,19.59771,29.376562,19.629396,25.215548,19.721392
2025-05-08 01:00:00+03:00,31.781715,19.11242,28.92407,19.118492,25.20881,19.379175
2025-05-08 02:00:00+03:00,32.496494,18.491972,28.953108,18.54013,25.054657,18.744476
2025-05-08 03:00:00+03:00,34.713802,18.28805,30.234089,18.271265,25.7601,18.511904
2025-05-08 04:00:00+03:00,38.262592,18.455225,32.614372,18.399395,27.308441,18.547634
2025-05-08 05:00:00+03:00,42.594868,18.800762,35.520046,18.734112,29.120752,18.792828
2025-05-08 06:00:00+03:00,47.12402,19.376213,38.876343,19.339605,31.358507,19.219032
2025-05-08 07:00:00+03:00,52.063602,20.41286,42.98407,20.36942,34.352375,20.07818
2025-05-08 08:00:00+03:00,56.522984,21.593737,47.32211,21.601986,37.33535,21.148628
2025-05-08 09:00:00+03:00,57.850456,22.260328,49.29534,22.567997,38.660866,22.218689
2025-05-08 10:00:00+03:00,59.82893,23.159412,51.386806,23.642715,40.68587,23.363165
2025-05-08 11:00:00+03:00,60.51794,23.6859,52.072155,24.03709,40.888252,23.796686
2025-05-08 12:00:00+03:00,58.77104,24.093405,50.69941,24.247284,40.0985,24.154205
2025-05-08 13:00:00+03:00,55.39619,24.30787,47.679367,24.295544,38.600796,24.400671
2025-05-08 14:00:00+03:00,50.954273,24.343178,43.92186,24.335238,36.52492,24.416637
2025-05-08 15:00:00+03:00,50.135098,24.152765,44.126076,24.355162,36.396667,24.322626
2025-05-08 16:00:00+03:00,47.309017,23.650515,41.962654,24.025036,34.92327,23.94406
2025-05-08 17:00:00+03:00,43.658283,23.262655,39.004574,23.72626,32.960846,23.574696
2025-05-08 18:00:00+03:00,40.65243,22.901302,36.69296,23.391123,31.366114,23.245031
2025-05-08 19:00:00+03:00,38.142544,22.677465,34.7138,23.04649,29.78679,22.63532
2025-05-08 20:00:00+03:00,36.547665,22.228485,33.325085,22.578049,28.954351,22.21105
2025-05-08 21:00:00+03:00,35.350063,21.827658,32.482517,22.152086,28.326416,21.828363
2025-05-08 22:00:00+03:00,34.279907,21.37561,31.702103,21.6218,27.578741,21.409786
2025-05-08 23:00:00+03:00,33.36962,20.920275,31.025116,21.068796,26.882156,20.983376
2025-05-09 00:00:00+03:00,32.728344,20.443956,30.52805,20.484396,26.279434,20.543707
2025-05-09 01:00:00+03:00,32.866978,20.008192,30.132269,19.966816,26.430952,20.259989
2025-05-09 02:00:00+03:00,33.80601,19.520205,30.3598,19.494326,26.459469,19.745758
2025-05-09 03:00:00+03:00,36.178314,19.348492,31.815985,19.306578,27.295353,19.502089
2025-05-09 04:00:00+03:00,39.82832,19.517668,34.243725,19.458546,28.823664,19.558262
2025-05-09 05:00:00+03:00,44.165485,19.896908,37.205856,19.861818,30.811337,19.871077
2025-05-09 06:00:00+03:00,48.956314,20.563976,40.76036,20.585258,33.096752,20.445875
2025-05-09 07:00:00+03:00,53.877426,21.563972,44.845284,21.60969,35.857517,21.293507
2025-05-09 08:00:00+03:00,58.253532,22.594534,48.88483,22.720692,38.622643,22.320898
2025-05-09 09:00:00+03:00,58.41052,23.261395,49.731716,23.573143,39.16669,23.405495
2025-05-09 10:00:00+03:00,59.858562,23.829168,50.861496,24.307753,39.946358,24.271374
2025-05-09 11:00:00+03:00,59.53016,24.116892,50.266598,24.80738,39.362354,24.73992
2025-05-09 12:00:00+03:00,56.391415,24.200422,47.00051,24.93972,37.258938,24.676247
2025-05-09 13:00:00+03:00,50.532925,24.627037,42.531464,24.921654,35.20024,24.87972
2025-05-09 14:00:00+03:00,42.670166,24.918835,36.619633,24.856901,32.214626,24.780825
2025-05-09 15:00:00+03:00,41.23206,24.729948,35.77409,24.716314,31.703215,24.387516
